week_start,week,country,iso3,new_confirmed_cases,new_deaths,perc_change_conf_cases,perc_change_deaths
2022-06-04,23,Brazil,BRA,1,0,NA,NA
2022-06-11,24,Brazil,BRA,6,0,500,NA
2022-06-18,25,Brazil,BRA,12,0,100,NA
2022-06-25,26,Brazil,BRA,44,0,266.66666666666663,NA
2022-07-02,27,Brazil,BRA,142,0,222.72727272727272,NA
2022-07-09,28,Brazil,BRA,179,0,26.056338028169023,NA
2022-07-16,29,Brazil,BRA,208,0,16.201117318435763,NA
2022-07-23,30,Brazil,BRA,386,0,85.57692307692308,NA
2022-07-30,31,Brazil,BRA,743,1,92.48704663212435,NA
2022-08-06,32,Brazil,BRA,863,0,16.150740242261108,NA
2022-08-13,33,Brazil,BRA,866,0,0.34762456546928444,NA
2022-08-20,34,Brazil,BRA,1022,0,18.013856812933014,NA
2022-08-27,35,Brazil,BRA,725,1,-29.06066536203522,NA
2022-09-03,36,Brazil,BRA,774,0,6.7586206896551815,NA
2022-09-10,37,Brazil,BRA,836,0,8.010335917312661,NA
2022-09-17,38,Brazil,BRA,611,0,-26.913875598086122,NA
2022-09-24,39,Brazil,BRA,451,0,-26.186579378068743,NA
2022-10-01,40,Brazil,BRA,471,1,4.434589800443467,NA
2022-10-08,41,Brazil,BRA,312,3,-33.75796178343949,200
2022-10-15,42,Brazil,BRA,326,1,4.4871794871794934,-66.66666666666667
2022-10-22,43,Brazil,BRA,205,1,-37.11656441717791,0
2022-10-29,44,Brazil,BRA,129,3,-37.073170731707314,200
2022-11-05,45,Brazil,BRA,294,1,127.90697674418605,-66.66666666666667
2022-11-12,46,Brazil,BRA,238,0,-19.047619047619047,NA
2022-11-19,47,Brazil,BRA,154,0,-35.29411764705882,NA
2022-11-26,48,Brazil,BRA,102,2,-33.76623376623377,NA
2022-12-03,49,Brazil,BRA,135,0,32.35294117647059,NA
2022-12-10,50,Brazil,BRA,58,0,-57.03703703703704,NA
2022-12-17,51,Brazil,BRA,155,0,167.24137931034483,NA
2022-12-24,52,Brazil,BRA,63,0,-59.354838709677416,NA
2022-12-31,1,Brazil,BRA,78,0,23.809523809523814,NA
2023-01-07,2,Brazil,BRA,36,0,-53.84615384615385,NA
2023-01-14,3,Brazil,BRA,65,1,80.55555555555556,NA
2023-01-21,4,Brazil,BRA,40,0,-38.46153846153846,NA
2023-01-28,5,Brazil,BRA,28,0,-30.000000000000004,NA
2023-02-04,6,Brazil,BRA,50,0,78.57142857142858,NA
2023-02-11,7,Brazil,BRA,0,0,NA,NA
2023-02-18,8,Brazil,BRA,17,0,NA,NA
2023-02-25,9,Brazil,BRA,37,0,117.64705882352939,NA
2023-03-04,10,Brazil,BRA,16,0,-56.75675675675676,NA
2023-03-11,11,Brazil,BRA,0,0,NA,NA
2023-03-18,12,Brazil,BRA,12,0,NA,NA
2023-03-25,13,Brazil,BRA,0,0,NA,NA
2023-04-01,14,Brazil,BRA,7,0,NA,NA
2023-04-08,15,Brazil,BRA,0,0,NA,NA
2023-04-15,16,Brazil,BRA,7,1,NA,NA
2023-04-22,17,Brazil,BRA,11,0,57.14285714285714,NA
2023-04-29,18,Brazil,BRA,5,0,-54.54545454545454,NA
2023-05-06,19,Brazil,BRA,9,0,80,NA
2023-05-13,20,Brazil,BRA,12,0,33.33333333333333,NA
2023-05-20,21,Brazil,BRA,0,0,NA,NA
2023-05-27,22,Brazil,BRA,7,0,NA,NA
2023-06-03,23,Brazil,BRA,1,0,-85.71428571428572,NA
2023-06-10,24,Brazil,BRA,1,0,0,NA
2023-06-17,25,Brazil,BRA,0,0,NA,NA
2023-06-24,26,Brazil,BRA,11,0,NA,NA
2023-07-01,27,Brazil,BRA,0,0,NA,NA
2023-07-08,28,Brazil,BRA,0,0,NA,NA
2023-07-15,29,Brazil,BRA,6,0,NA,NA
2022-05-28,22,Canada,CAN,77,0,NA,NA
2022-06-04,23,Canada,CAN,35,0,-54.54545454545454,NA
2022-06-11,24,Canada,CAN,65,0,85.71428571428572,NA
2022-06-18,25,Canada,CAN,58,0,-10.769230769230765,NA
2022-06-25,26,Canada,CAN,52,0,-10.344827586206895,NA
2022-07-02,27,Canada,CAN,88,0,69.23076923076923,NA
2022-07-09,28,Canada,CAN,164,0,86.36363636363636,NA
2022-07-16,29,Canada,CAN,142,0,-13.414634146341465,NA
2022-07-23,30,Canada,CAN,122,0,-14.084507042253524,NA
2022-07-30,31,Canada,CAN,154,0,26.22950819672132,NA
2022-08-06,32,Canada,CAN,102,0,-33.76623376623377,NA
2022-08-13,33,Canada,CAN,109,0,6.8627450980392135,NA
2022-08-20,34,Canada,CAN,60,0,-44.95412844036697,NA
2022-08-27,35,Canada,CAN,61,0,1.6666666666666607,NA
2022-09-03,36,Canada,CAN,32,0,-47.540983606557376,NA
2022-09-10,37,Canada,CAN,42,0,31.25,NA
2022-09-17,38,Canada,CAN,26,0,-38.095238095238095,NA
2022-09-24,39,Canada,CAN,7,0,-73.07692307692308,NA
2022-10-01,40,Canada,CAN,15,0,114.28571428571428,NA
2022-10-08,41,Canada,CAN,0,0,NA,NA
2022-10-15,42,Canada,CAN,25,0,NA,NA
2022-10-22,43,Canada,CAN,0,0,NA,NA
2022-10-29,44,Canada,CAN,8,0,NA,NA
2022-11-05,45,Canada,CAN,0,0,NA,NA
2022-11-12,46,Canada,CAN,5,0,NA,NA
2022-11-19,47,Canada,CAN,0,0,NA,NA
2022-11-26,48,Canada,CAN,7,0,NA,NA
2022-12-03,49,Canada,CAN,3,0,-57.14285714285714,NA
2022-12-10,50,Canada,CAN,0,0,NA,NA
2022-12-17,51,Canada,CAN,1,0,NA,NA
2022-12-24,52,Canada,CAN,0,0,NA,NA
2022-12-31,1,Canada,CAN,0,0,NA,NA
2023-01-07,2,Canada,CAN,0,0,NA,NA
2023-01-14,3,Canada,CAN,0,0,NA,NA
2023-01-21,4,Canada,CAN,0,0,NA,NA
2023-01-28,5,Canada,CAN,0,0,NA,NA
2023-02-04,6,Canada,CAN,0,0,NA,NA
2023-02-11,7,Canada,CAN,0,0,NA,NA
2023-02-18,8,Canada,CAN,0,0,NA,NA
2023-02-25,9,Canada,CAN,0,0,NA,NA
2023-03-04,10,Canada,CAN,0,0,NA,NA
2023-03-11,11,Canada,CAN,18,0,NA,NA
2023-03-18,12,Canada,CAN,0,0,NA,NA
2023-03-25,13,Canada,CAN,0,0,NA,NA
2023-04-01,14,Canada,CAN,2,0,NA,NA
2023-04-08,15,Canada,CAN,0,0,NA,NA
2023-04-15,16,Canada,CAN,0,0,NA,NA
2023-04-22,17,Canada,CAN,4,0,NA,NA
2023-04-29,18,Canada,CAN,0,0,NA,NA
2023-05-06,19,Canada,CAN,0,0,NA,NA
2023-05-13,20,Canada,CAN,0,0,NA,NA
2023-05-20,21,Canada,CAN,12,0,NA,NA
2023-05-27,22,Canada,CAN,0,0,NA,NA
2023-06-03,23,Canada,CAN,0,0,NA,NA
2023-06-10,24,Canada,CAN,0,0,NA,NA
2023-06-17,25,Canada,CAN,0,0,NA,NA
2023-06-24,26,Canada,CAN,0,0,NA,NA
2023-07-01,27,Canada,CAN,0,0,NA,NA
2023-07-08,28,Canada,CAN,0,0,NA,NA
2023-07-15,29,Canada,CAN,0,0,NA,NA
2022-06-18,25,Colombia,COL,3,0,NA,NA
2022-06-25,26,Colombia,COL,2,0,-33.333333333333336,NA
2022-07-02,27,Colombia,COL,1,0,-50,NA
2022-07-09,28,Colombia,COL,1,0,0,NA
2022-07-16,29,Colombia,COL,5,0,400,NA
2022-07-23,30,Colombia,COL,0,0,NA,NA
2022-07-30,31,Colombia,COL,31,0,NA,NA
2022-08-06,32,Colombia,COL,41,0,32.258064516129025,NA
2022-08-13,33,Colombia,COL,80,0,95.1219512195122,NA
2022-08-20,34,Colombia,COL,109,0,36.25000000000001,NA
2022-08-27,35,Colombia,COL,309,0,183.4862385321101,NA
2022-09-03,36,Colombia,COL,356,0,15.210355987055024,NA
2022-09-10,37,Colombia,COL,322,0,-9.55056179775281,NA
2022-09-17,38,Colombia,COL,393,0,22.04968944099379,NA
2022-09-24,39,Colombia,COL,389,0,-1.0178117048346036,NA
2022-10-01,40,Colombia,COL,411,0,5.655526992287907,NA
2022-10-08,41,Colombia,COL,277,0,-32.60340632603407,NA
2022-10-15,42,Colombia,COL,380,0,37.1841155234657,NA
2022-10-22,43,Colombia,COL,188,0,-50.526315789473685,NA
2022-10-29,44,Colombia,COL,225,0,19.680851063829795,NA
2022-11-05,45,Colombia,COL,107,0,-52.44444444444445,NA
2022-11-12,46,Colombia,COL,89,0,-16.82242990654206,NA
2022-11-19,47,Colombia,COL,84,0,-5.61797752808989,NA
2022-11-26,48,Colombia,COL,58,0,-30.952380952380953,NA
2022-12-03,49,Colombia,COL,19,0,-67.24137931034483,NA
2022-12-10,50,Colombia,COL,28,0,47.36842105263157,NA
2022-12-17,51,Colombia,COL,63,0,125,NA
2022-12-24,52,Colombia,COL,50,0,-20.63492063492064,NA
2022-12-31,1,Colombia,COL,14,0,-72,NA
2023-01-07,2,Colombia,COL,14,0,0,NA
2023-01-14,3,Colombia,COL,13,0,-7.14285714285714,NA
2023-01-21,4,Colombia,COL,4,0,-69.23076923076923,NA
2023-01-28,5,Colombia,COL,6,0,50,NA
2023-02-04,6,Colombia,COL,2,0,-66.66666666666667,NA
2023-02-11,7,Colombia,COL,6,0,200,NA
2023-02-18,8,Colombia,COL,1,0,-83.33333333333334,NA
2023-02-25,9,Colombia,COL,1,0,0,NA
2023-03-04,10,Colombia,COL,3,0,200,NA
2023-03-11,11,Colombia,COL,3,0,0,NA
2023-03-18,12,Colombia,COL,1,0,-66.66666666666667,NA
2023-03-25,13,Colombia,COL,0,0,NA,NA
2023-04-01,14,Colombia,COL,0,0,NA,NA
2023-04-08,15,Colombia,COL,0,0,NA,NA
2023-04-15,16,Colombia,COL,1,0,NA,NA
2023-04-22,17,Colombia,COL,0,0,NA,NA
2023-04-29,18,Colombia,COL,0,0,NA,NA
2023-05-06,19,Colombia,COL,0,0,NA,NA
2023-05-13,20,Colombia,COL,0,0,NA,NA
2023-05-20,21,Colombia,COL,0,0,NA,NA
2023-05-27,22,Colombia,COL,0,0,NA,NA
2023-06-03,23,Colombia,COL,0,0,NA,NA
2023-06-10,24,Colombia,COL,0,0,NA,NA
2023-06-17,25,Colombia,COL,0,0,NA,NA
2023-06-24,26,Colombia,COL,0,0,NA,NA
2023-07-01,27,Colombia,COL,0,0,NA,NA
2023-07-08,28,Colombia,COL,0,0,NA,NA
2023-07-15,29,Colombia,COL,0,0,NA,NA
2022-05-14,20,France,FRA,1,0,NA,NA
2022-05-21,21,France,FRA,6,0,500,NA
2022-05-28,22,France,FRA,26,0,333.3333333333333,NA
2022-06-04,22,France,FRA,18,0,-30.76923076923077,NA
2022-06-04,23,France,FRA,40,0,122.22222222222223,NA
2022-06-11,24,France,FRA,92,0,129.99999999999997,NA
2022-06-18,25,France,FRA,147,0,59.78260869565217,NA
2022-06-25,26,France,FRA,168,0,14.28571428571428,NA
2022-07-02,27,France,FRA,79,0,-52.976190476190474,NA
2022-07-09,27,France,FRA,144,0,82.27848101265822,NA
2022-07-09,28,France,FRA,191,0,32.638888888888886,NA
2022-07-16,29,France,FRA,541,0,183.2460732984293,NA
2022-07-23,30,France,FRA,384,0,-29.02033271719039,NA
2022-07-30,31,France,FRA,402,0,4.6875,NA
2022-08-06,32,France,FRA,362,0,-9.950248756218905,NA
2022-08-13,32,France,FRA,72,0,-80.11049723756906,NA
2022-08-13,33,France,FRA,216,0,200,NA
2022-08-20,34,France,FRA,532,0,146.29629629629628,NA
2022-08-27,35,France,FRA,137,0,-74.24812030075188,NA
2022-09-03,35,France,FRA,88,0,-35.76642335766424,NA
2022-09-03,36,France,FRA,75,0,-14.77272727272727,NA
2022-09-10,36,France,FRA,64,0,-14.66666666666666,NA
2022-09-10,37,France,FRA,113,0,76.5625,NA
2022-09-17,38,France,FRA,45,0,-60.17699115044248,NA
2022-09-24,39,France,FRA,56,0,24.444444444444446,NA
2022-10-01,40,France,FRA,44,0,-21.42857142857143,NA
2022-10-08,41,France,FRA,21,0,-52.27272727272727,NA
2022-10-15,42,France,FRA,20,0,-4.761904761904767,NA
2022-10-22,43,France,FRA,10,0,-50,NA
2022-10-29,44,France,FRA,3,0,-70,NA
2022-11-05,45,France,FRA,0,0,NA,NA
2022-11-12,45,France,FRA,5,0,NA,NA
2022-11-12,46,France,FRA,2,0,-60,NA
2022-11-19,47,France,FRA,3,0,50,NA
2022-11-26,48,France,FRA,3,0,0,NA
2022-12-03,49,France,FRA,0,0,NA,NA
2022-12-10,50,France,FRA,0,0,NA,NA
2022-12-17,51,France,FRA,0,0,NA,NA
2022-12-24,52,France,FRA,4,0,NA,NA
2022-12-31,1,France,FRA,0,0,NA,NA
2023-01-07,2,France,FRA,0,0,NA,NA
2023-01-14,3,France,FRA,0,0,NA,NA
2023-01-21,4,France,FRA,14,0,NA,NA
2023-01-28,5,France,FRA,0,0,NA,NA
2023-02-04,6,France,FRA,0,0,NA,NA
2023-02-11,7,France,FRA,0,0,NA,NA
2023-02-18,8,France,FRA,0,0,NA,NA
2023-02-25,9,France,FRA,0,0,NA,NA
2023-03-04,9,France,FRA,0,0,NA,NA
2023-03-04,10,France,FRA,0,0,NA,NA
2023-03-11,11,France,FRA,0,0,NA,NA
2023-03-18,12,France,FRA,0,0,NA,NA
2023-03-25,13,France,FRA,0,0,NA,NA
2023-04-01,14,France,FRA,16,0,NA,NA
2023-04-08,15,France,FRA,0,0,NA,NA
2023-04-15,16,France,FRA,0,0,NA,NA
2023-04-22,17,France,FRA,0,0,NA,NA
2023-04-29,18,France,FRA,2,0,NA,NA
2023-05-06,19,France,FRA,0,0,NA,NA
2023-05-13,20,France,FRA,0,0,NA,NA
2023-05-20,21,France,FRA,0,0,NA,NA
2023-05-27,22,France,FRA,0,0,NA,NA
2023-06-03,23,France,FRA,0,0,NA,NA
2023-06-10,24,France,FRA,0,0,NA,NA
2023-06-17,25,France,FRA,0,0,NA,NA
2023-06-24,26,France,FRA,0,0,NA,NA
2023-07-01,27,France,FRA,1,0,NA,NA
2023-07-08,28,France,FRA,0,0,NA,NA
2023-07-15,29,France,FRA,0,0,NA,NA
2022-05-14,20,Germany,DEU,1,0,NA,NA
2022-05-21,20,Germany,DEU,2,0,100,NA
2022-05-21,21,Germany,DEU,12,0,500,NA
2022-05-28,22,Germany,DEU,50,0,316.6666666666667,NA
2022-06-04,23,Germany,DEU,100,0,100,NA
2022-06-11,24,Germany,DEU,173,0,73,NA
2022-06-18,25,Germany,DEU,338,0,95.37572254335261,NA
2022-06-25,26,Germany,DEU,378,0,11.834319526627212,NA
2022-07-02,27,Germany,DEU,331,0,-12.43386243386243,NA
2022-07-09,27,Germany,DEU,105,0,-68.27794561933534,NA
2022-07-09,28,Germany,DEU,300,0,185.71428571428572,NA
2022-07-16,29,Germany,DEU,478,0,59.33333333333333,NA
2022-07-23,30,Germany,DEU,327,0,-31.589958158995813,NA
2022-07-30,31,Germany,DEU,292,0,-10.703363914373087,NA
2022-08-06,32,Germany,DEU,215,0,-26.369863013698634,NA
2022-08-13,32,Germany,DEU,0,0,NA,NA
2022-08-13,33,Germany,DEU,164,0,NA,NA
2022-08-20,34,Germany,DEU,139,0,-15.243902439024392,NA
2022-08-27,35,Germany,DEU,75,0,-46.043165467625904,NA
2022-09-03,35,Germany,DEU,13,0,-82.66666666666667,NA
2022-09-03,36,Germany,DEU,25,0,92.3076923076923,NA
2022-09-10,36,Germany,DEU,12,0,-52,NA
2022-09-10,37,Germany,DEU,26,0,116.66666666666666,NA
2022-09-17,38,Germany,DEU,41,0,57.692307692307686,NA
2022-09-24,39,Germany,DEU,28,0,-31.707317073170728,NA
2022-10-01,40,Germany,DEU,20,0,-28.57142857142857,NA
2022-10-08,41,Germany,DEU,6,0,-70,NA
2022-10-15,42,Germany,DEU,5,0,-16.666666666666664,NA
2022-10-22,43,Germany,DEU,6,0,19.999999999999996,NA
2022-10-29,44,Germany,DEU,6,0,0,NA
2022-11-05,45,Germany,DEU,2,0,-66.66666666666667,NA
2022-11-12,45,Germany,DEU,0,0,NA,NA
2022-11-12,46,Germany,DEU,1,0,NA,NA
2022-11-19,47,Germany,DEU,1,0,0,NA
2022-11-26,48,Germany,DEU,-1,0,-100,NA
2022-12-03,49,Germany,DEU,2,0,100,NA
2022-12-10,50,Germany,DEU,2,0,0,NA
2022-12-17,51,Germany,DEU,1,0,-50,NA
2022-12-24,52,Germany,DEU,0,0,NA,NA
2022-12-31,1,Germany,DEU,1,0,NA,NA
2023-01-07,2,Germany,DEU,23,0,2200,NA
2023-01-14,3,Germany,DEU,-11,0,-100,NA
2023-01-21,4,Germany,DEU,3,0,100,NA
2023-01-28,5,Germany,DEU,0,0,NA,NA
2023-02-04,6,Germany,DEU,0,0,NA,NA
2023-02-11,7,Germany,DEU,0,0,NA,NA
2023-02-18,8,Germany,DEU,0,0,NA,NA
2023-02-25,9,Germany,DEU,0,0,NA,NA
2023-03-04,9,Germany,DEU,0,0,NA,NA
2023-03-04,10,Germany,DEU,0,0,NA,NA
2023-03-11,11,Germany,DEU,0,0,NA,NA
2023-03-18,12,Germany,DEU,0,0,NA,NA
2023-03-25,13,Germany,DEU,0,0,NA,NA
2023-04-01,14,Germany,DEU,0,0,NA,NA
2023-04-08,15,Germany,DEU,0,0,NA,NA
2023-04-15,16,Germany,DEU,0,0,NA,NA
2023-04-22,17,Germany,DEU,0,0,NA,NA
2023-04-29,18,Germany,DEU,-1,0,-100,NA
2023-05-06,19,Germany,DEU,0,0,100,NA
2023-05-13,20,Germany,DEU,0,0,NA,NA
2023-05-20,21,Germany,DEU,0,0,NA,NA
2023-05-27,22,Germany,DEU,0,0,NA,NA
2023-06-03,23,Germany,DEU,0,0,NA,NA
2023-06-10,24,Germany,DEU,0,0,NA,NA
2023-06-17,25,Germany,DEU,0,0,NA,NA
2023-06-24,26,Germany,DEU,0,0,NA,NA
2023-07-01,27,Germany,DEU,0,0,NA,NA
2023-07-08,28,Germany,DEU,0,0,NA,NA
2023-07-15,29,Germany,DEU,0,0,NA,NA
2022-05-28,22,Mexico,MEX,1,0,NA,NA
2022-06-04,23,Mexico,MEX,0,0,NA,NA
2022-06-11,24,Mexico,MEX,9,0,NA,NA
2022-06-18,25,Mexico,MEX,1,0,-88.88888888888889,NA
2022-06-25,26,Mexico,MEX,16,0,1500,NA
2022-07-02,27,Mexico,MEX,3,0,-81.25,NA
2022-07-09,28,Mexico,MEX,12,0,300,NA
2022-07-16,29,Mexico,MEX,17,0,41.66666666666667,NA
2022-07-23,30,Mexico,MEX,0,0,NA,NA
2022-07-30,31,Mexico,MEX,32,0,NA,NA
2022-08-06,32,Mexico,MEX,56,0,75,NA
2022-08-13,33,Mexico,MEX,105,0,87.5,NA
2022-08-20,34,Mexico,MEX,134,0,27.61904761904761,NA
2022-08-27,35,Mexico,MEX,118,0,-11.940298507462687,NA
2022-09-03,36,Mexico,MEX,284,0,140.6779661016949,NA
2022-09-10,37,Mexico,MEX,262,0,-7.746478873239438,NA
2022-09-17,38,Mexico,MEX,317,0,20.992366412213737,NA
2022-09-24,39,Mexico,MEX,260,0,-17.981072555205046,NA
2022-10-01,40,Mexico,MEX,341,0,31.153846153846153,NA
2022-10-08,41,Mexico,MEX,179,0,-47.50733137829912,NA
